,State_Name,State_ab,Lat,Lon,Mean,Median,Stdev,easting,northing,zone_number,zone_letter
19002,New York,NY,40.653453000000006,-73.95130970000001,44590,41979,30938,588657.5395368494,4500816.831715257,18,T
19003,New York,NY,40.645064700000006,-73.94897320000001,85086,43304,91156,588866.2016407447,4499888.04190814,18,T
19004,New York,NY,40.641524,-73.9416243,76190,68128,48883,589492.3046186094,4499502.456090117,18,T
19005,New York,NY,40.642285,-73.92745490000001,61206,48048,50828,590689.4075529942,4499601.444665103,18,T
19006,New York,NY,40.6486244,-73.9448276,57333,52504,36694,589211.9848216093,4500287.385429973,18,T
19007,New York,NY,40.811457,-73.9121722,29609,21900,25154,591749.0062316001,4518396.6297710175,18,T
19008,New York,NY,40.654339,-73.92384659999999,64710,35461,63334,590978.1407463686,4500943.234147494,18,T
19009,New York,NY,40.6536754,-73.9366498,63352,300000,58958,589896.628250043,4500856.403015779,18,T
19010,New York,NY,40.661519299999995,-73.93102259999999,68372,60138,54743,590361.7799248346,4501732.889665016,18,T
19011,New York,NY,40.657488,-73.9206765,51429,37854,52791,591241.8555859292,4501296.076311381,18,T
19012,New York,NY,42.2765146,-73.85924,68479,52803,49906,594065.5149187236,4681108.050894314,18,T
19013,New York,NY,40.6569877,-73.9154892,65902,300000,42817,591681.0629458602,4501245.935820704,18,T
19014,New York,NY,40.658007399999995,-73.9124095,51629,35880,48041,591940.0156057767,4501362.3442769805,18,T
19015,New York,NY,40.666247399999996,-73.91981240000001,27237,24676,22742,591302.95850505,4502269.319098946,18,T
19016,New York,NY,40.6713226,-73.9047719,24914,12290,31423,592567.2627141741,4502848.427170377,18,T
19017,New York,NY,40.6591038,-73.9091012,23169,15346,24605,592218.1795916831,4501487.515807007,18,T
19018,New York,NY,40.6552406,-73.90634969999999,46750,35570,39000,592456.1133801007,4501061.567071132,18,T
19019,New York,NY,40.6489251,-73.91901490000001,73003,52876,58133,591394.0080648186,4500347.2701300625,18,T
19020,New York,NY,40.6446169,-73.92327970000001,70976,300000,51312,591039.2805066537,4499864.61205029,18,T
19021,New York,NY,40.6408221,-73.91168590000001,84895,73363,62611,592024.7943389459,4499455.433334173,18,T
19022,New York,NY,40.647259999999996,-73.907353,103834,88178,70453,592382.3009639996,4500174.619340046,18,T
19023,New York,NY,43.0434447,-75.1518554,66619,56587,47474,487631.23972629494,4765650.462368898,18,T
19024,New York,NY,40.643001899999994,-73.89731529999999,60414,46645,47348,593236.9214552111,4499712.538114813,18,T
19025,New York,NY,40.6322533,-73.9008897,71182,56531,58828,592949.5926849286,4498515.599962223,18,T
19026,New York,NY,40.643853,-73.886645,88664,72666,60928,594137.9644577687,4499818.381266941,18,T
19027,New York,NY,40.6492206,-73.8805957,35440,20205,31163,594641.8795689085,4500420.709049693,18,T
19028,New York,NY,40.6588417,-73.875959,57144,52769,41312,595020.252749975,4501493.709984551,18,T
19029,New York,NY,40.6573142,-73.8842981,35214,19694,37875,594317.4488986963,4501315.16946252,18,T
19030,New York,NY,40.6637279,-73.8859223,38015,27779,39029,594171.1208977319,4502025.388594996,18,T
19031,New York,NY,40.6621721,-73.89647070000001,40039,27519,34567,593281.6330997335,4501841.439806935,18,T
19032,New York,NY,40.6789955,-73.90102850000001,82850,59463,67395,592873.0067090109,4503704.116433737,18,T
19033,New York,NY,40.6739223,-73.8865225,49384,53223,36043,594106.0522187998,4503156.388437457,18,T
19034,New York,NY,43.0215612,-74.98507559999999,37259,34118,27290,501216.03780748474,4763209.243425886,18,T
19035,New York,NY,40.6688809,-73.8921624,76193,64407,53231,593636.437346246,4502590.738244028,18,T
19036,New York,NY,40.6705099,-73.8811822,50228,23994,54838,594562.2201557696,4502783.321464411,18,T
19037,New York,NY,40.6827365,-73.883765,60202,47564,55473,594326.6817700679,4504137.777752616,18,T
19038,New York,NY,40.6879085,-73.8718976,62611,52051,40374,595322.1778798777,4504724.709797253,18,T
19039,New York,NY,40.6790412,-73.86591390000001,37577,12374,42038,595840.4998971317,4503746.888445018,18,T
19040,New York,NY,40.675895600000004,-73.87316340000001,35744,24977,37330,595232.3164464831,4503389.826084522,18,T
19041,New York,NY,40.6763414,-73.86436390000001,54190,46980,48664,595975.3637979503,4503448.884268843,18,T
19042,New York,NY,40.6637329,-73.86285670000001,49993,30274,60692,596120.8489799569,4502050.906277168,18,T
19043,New York,NY,40.6439742,-73.96718359999998,127425,95192,81755,587327.8752922927,4499748.749940023,18,T
19044,New York,NY,43.863186600000006,-75.63039300000001,80474,69072,56155,449342.76592032996,4856870.5703226235,18,T
19045,New York,NY,44.0075967,-76.1096405,64186,54796,45824,411046.70953254774,4873315.071266218,18,T
19046,New York,NY,43.581354499999996,-75.5618852,60716,52340,44258,454635.76889329357,4825529.864913124,18,T
19047,New York,NY,42.8960249,-77.68824079999999,70358,52074,51932,280510.7852982032,4752774.802994726,18,T
19048,New York,NY,42.89588870000001,-77.6086725,61810,53030,46919,287007.241248433,4752555.1147907935,18,T
19049,New York,NY,42.7236954,-77.8752072,38664,23381,34022,264591.24718673143,4734141.571873662,18,T
19050,New York,NY,42.562809,-77.9425043,61726,50083,42154,258458.7327371707,4716464.528918227,18,T
19051,New York,NY,43.0982901,-75.6497099,54322,46080,42683,447127.62974872533,4771934.665299017,18,T
19052,New York,NY,43.1170389,-75.7631608,51186,33860,42925,437914.0921441029,4774094.520203705,18,T
19053,New York,NY,43.0386988,-75.83874499999999,79311,66834,47558,431678.02618594747,4765453.558747334,18,T
19054,New York,NY,42.9903103,-75.6855147,63058,56003,41154,444115.9516612281,4759966.737035208,18,T
19055,New York,NY,42.8152169,-75.5425157,75740,68402,53242,455648.1098869563,4740437.989944612,18,T
19056,New York,NY,43.985673,-75.8920376,43893,32831,42043,428464.36383005924,4870668.324107452,18,T
19057,New York,NY,43.1733854,-77.6085802,28515,16093,30557,287972.96782562445,4783372.839786414,18,T
19058,New York,NY,43.1963718,-77.6527415,31185,23005,25023,284464.28987759945,4786038.546349678,18,T
19059,New York,NY,43.1904633,-77.63516109999999,44434,42304,28238,285872.0936206711,4785337.197382475,18,T
19060,New York,NY,43.175525,-77.633088,17659,11001,20815,285988.3448723971,4783672.853227751,18,T
19061,New York,NY,43.150366,-77.5892577,96980,59485,86998,289464.4977445483,4780767.552478571,18,T
19062,New York,NY,43.1465154,-77.5817158,42915,31377,34704,290064.5785241546,4780320.970593796,18,T
19063,New York,NY,43.1366529,-77.59471190000001,66503,50997,51804,288973.79512271413,4779258.32565332,18,T
19064,New York,NY,43.1202701,-77.62714620000001,0,0,0,286278.739761275,4777521.12547834,18,T
19065,New York,NY,43.2109164,-77.61948149999999,21014,16711,18457,287217.385085377,4787568.694692627,18,T
19066,New York,NY,43.177026899999994,-77.61807850000001,19336,11785,23116,287213.55843745125,4783801.373077946,18,T
19067,New York,NY,43.7374206,-76.0122762,66421,55954,47916,418484.39165607886,4843207.262652104,18,T
19068,New York,NY,43.173527,-77.5680322,55750,48435,49265,291269.36190354754,4783286.62347367,18,T
19069,New York,NY,43.164897499999995,-77.57599509999999,27359,30606,19798,290592.606805863,4782348.133933169,18,T
19070,New York,NY,43.163863899999996,-77.55815770000001,64032,63290,31980,292039.1966750765,4782188.867599688,18,T
19071,New York,NY,43.1445622,-77.6421952,24702,13424,25033,285139.5481322349,4780257.484403714,18,T
19072,New York,NY,43.138460200000004,-77.64212679999999,45326,32997,46187,285123.7262093902,4779579.627608896,18,T
19073,New York,NY,43.1297641,-77.6467186,51905,46270,34259,284719.74706318264,4778625.64332161,18,T
19074,New York,NY,43.156476399999995,-77.5549234,53117,41909,40706,292277.0922163463,4781360.3904465055,18,T
19075,New York,NY,43.178145,-77.5926286,26911,20330,21663,289285.9591086542,4783861.141800488,18,T
19076,New York,NY,43.181795799999996,-77.5670604,29283,26753,16551,291376.52609635505,4784202.524575112,18,T
19077,New York,NY,43.223483200000004,-77.6249452,40091,30558,30277,286817.36000941345,4788978.280506272,18,T
19078,New York,NY,40.6932903,-73.9877087,121197,105949,67127,585529.3479942889,4505202.943194312,18,T
19079,New York,NY,43.174607,-77.66409300000001,45599,39653,32795,283464.9628459688,4783650.669409287,18,T
19080,New York,NY,43.1560576,-77.60654770000001,18650,13355,23652,288078.24591401813,4781443.283171949,18,T
19081,New York,NY,43.16145220000001,-77.6442271,23502,17149,21515,285033.55921899446,4782138.488613507,18,T
19082,New York,NY,43.234879,-77.6008874,101587,92063,60124,288810.65539101406,4790182.831178718,18,T
19083,New York,NY,43.20340039999999,-77.60987990000001,85511,300000,52729,287971.3154934166,4786709.582074895,18,T
19084,New York,NY,43.204235100000005,-77.5921204,85270,300000,59613,289417.04745985137,4786757.411777413,18,T
19085,New York,NY,43.2109217,-77.5452573,86450,300000,63838,293246.95161510434,4787383.088343118,18,T
19086,New York,NY,43.197105,-77.5516421,43462,31764,41847,292681.4733943499,4785864.4207879575,18,T
19087,New York,NY,43.1738706,-77.5431522,62286,53783,38001,293292.86427868914,4783263.023885777,18,T
19088,New York,NY,43.22216029999999,-77.4826547,113388,102327,65057,298369.46751961083,4788478.362525357,18,T
19089,New York,NY,40.6916164,-73.9776998,83112,71494,56006,586377.1838359932,4505026.920870157,18,T
19090,New York,NY,43.2508125,-77.4079813,102183,89799,70891,304526.01333730435,4791483.078628148,18,T
19091,New York,NY,43.1873625,-77.45093409999998,103836,101408,62298,300832.532619192,4784537.752381802,18,T
19092,New York,NY,43.143097499999996,-77.40337779999999,104059,97678,54603,304556.04161557974,4779509.662488123,18,T
19093,New York,NY,43.1406444,-77.51018559999999,76749,48865,65444,295861.8478478717,4779492.0710987635,18,T
19094,New York,NY,43.061895799999995,-77.44945329999999,93056,81491,72488,300545.4115462049,4770600.208414613,18,T
19095,New York,NY,43.0994653,-77.4430687,91750,300000,57539,301186.9094780163,4774757.390501501,18,T
19096,New York,NY,43.0888409,-77.4655933,83797,60196,67564,299319.10574001377,4773631.160200581,18,T
19097,New York,NY,43.113803999999995,-77.52398690000001,63121,66186,36656,294649.59820255055,4776544.970097219,18,T
19098,New York,NY,43.0890894,-77.5288463,130820,111452,76656,294171.39164978696,4773812.148970378,18,T
19099,New York,NY,42.9911314,-77.5325184,127898,300000,66347,293544.09398928354,4762942.28576854,18,T
19100,New York,NY,40.6330732,-74.0485191,112402,95157,75622,580463.6903691771,4498461.108898648,18,T
19101,New York,NY,43.1290037,-77.5400086,95207,35105,87730,293397.2090305681,4778272.415371398,18,T
19102,New York,NY,43.129872,-77.5840252,108616,78687,72809,289819.7399015587,4778478.373312729,18,T
19103,New York,NY,43.1067086,-77.56876020000001,107384,93151,64894,290982.5408151554,4775867.6931482805,18,T
19104,New York,NY,43.0845044,-77.5831821,59998,48054,46095,289732.9815502219,4773437.822826201,18,T
19105,New York,NY,43.0396701,-77.62673259999998,75972,58463,51571,286031.89900416904,4768568.808531133,18,T
19106,New York,NY,42.971329100000005,-77.6731429,116881,89405,82717,282009.5269837964,4761098.489380777,18,T
19107,New York,NY,43.228927299999995,-77.7280052,81720,63519,59596,278466.7705940191,4789850.880383049,18,T
19108,New York,NY,43.242071100000004,-77.65299870000001,55193,54478,28874,284604.4384575578,4791114.579367214,18,T
19109,New York,NY,43.249035600000006,-77.6401994,72047,300000,38118,285668.089770376,4791855.150234921,18,T
19110,New York,NY,43.222649,-77.6507961,53422,300000,43913,284714.8698303759,4788951.880037658,18,T
19111,New York,NY,40.616786499999996,-74.0394733,79284,60997,65792,581248.4113798935,4496661.522323824,18,T
19112,New York,NY,43.2310289,-77.677947,64756,55774,41297,282539.5146480249,4789952.832284856,18,T
19113,New York,NY,43.1994234,-77.68300079999999,80080,79824,52297,282016.47325338697,4786455.878544348,18,T
19114,New York,NY,43.1719709,-77.71703029999999,63112,300000,54563,279152.5540300339,4783496.261741908,18,T
19115,New York,NY,43.138287899999995,-77.6884913,74990,300000,37096,281352.243958421,4779680.521508971,18,T
19116,New York,NY,43.1150547,-77.70656109999999,88984,300000,56588,279799.21752128453,4777147.6105958605,18,T
19117,New York,NY,43.0744693,-77.7435876,74308,62182,46869,276639.08458732197,4772738.24822331,18,T
19118,New York,NY,40.824996999999996,-73.8778533,44800,29713,46311,594624.3221151943,4519936.182475021,18,T
19119,New York,NY,43.3181032,-77.78504790000001,79979,71919,49778,274164.5387649613,4799907.674386818,18,T
